id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,mths_since_last_major_derog,acc_now_delinq,tot_cur_bal,acc_open_past_24mths,avg_cur_bal,bc_util,chargeoff_within_12_mths,delinq_amnt,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,num_actv_bc_tl,num_bc_tl,num_il_tl,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens
37611926,33950,33950,33950, 36 months,23.99%,1331.78,VP of IT,3 years,RENT,125000,Verified,14-Dec,Late (31-120 days),small_business,902xx,CA,15.99,0,Dec-86,710,714,0,29,NA,4,0,6356,60.50%,17,15-Nov,1331.78,16-Mar,16-Feb,NA,0,66628,3,16657,60.5,0,0,4,7,29,7,2,3,10,0,0,0,2,0,0,0
37781808,9000,9000,9000, 36 months,12.99%,303.21,CEO,6 years,RENT,50000,Verified,14-Dec,Current,small_business,902xx,CA,37.25,0,May-92,660,664,0,58,57,7,2,12193,76.20%,26,16-Jan,303.21,16-Mar,16-Feb,58,0,68268,3,9753,76.8,0,0,5,25,73,15,4,9,8,0,0,0,1,25,1,0
37731642,3000,3000,3000, 36 months,16.49%,106.2,owner/operator,2 years,RENT,30000,Source Verified,14-Dec,Current,small_business,560xx,MN,35.52,0,3-Oct,670,674,3,NA,NA,14,0,11540,74.50%,42,16-Feb,106.2,16-Mar,16-Feb,NA,0,37673,3,2898,97.1,0,0,0,38,NA,2,2,4,27,0,0,0,1,100,0,0
37127806,28000,28000,28000, 36 months,8.19%,879.88,Dentist/owner,10+ years,MORTGAGE,275000,Source Verified,14-Dec,Current,small_business,402xx,KY,12.43,2,Aug-91,695,699,0,23,NA,12,0,56281,80.80%,47,16-Feb,879.88,16-Mar,16-Feb,NA,0,571603,3,47634,84.2,0,0,3,98,23,8,2,9,24,0,0,0,2,100,0,0
37107399,25000,25000,25000, 36 months,15.59%,873.88,General Manager,9 years,RENT,82500,Source Verified,14-Dec,Fully Paid,small_business,925xx,CA,7.33,0,8-May,710,714,0,NA,82,8,1,4851,22.30%,10,16-Jan,519.19,,16-Feb,NA,0,14164,2,1771,22.1,0,0,1,10,NA,10,6,6,2,0,0,0,1,0,1,0
36361523,18625,18625,18625, 36 months,15.99%,654.71,Office Manager,3 years,RENT,52000,Verified,14-Dec,Charged Off,small_business,193xx,PA,20.47,0,3-Jul,705,709,1,44,NA,9,0,8993,18.90%,21,15-Jan,654.71,,16-Feb,44,0,15518,5,1940,19.8,0,0,0,7,44,0,5,12,1,0,0,0,3,0,0,0
37691129,21000,21000,21000, 60 months,14.99%,499.48,owner/ Dentist,10+ years,MORTGAGE,150000,Source Verified,14-Dec,Current,small_business,630xx,MO,21.14,2,Feb-95,695,699,0,8,NA,15,0,52586,84.40%,49,16-Feb,499.48,16-Mar,16-Feb,NA,0,538683,1,38477,86.2,0,0,5,40,8,11,5,10,19,0,0,0,0,57.1,0,0
37650891,2500,2500,2500, 36 months,15.99%,87.89,Administrative Clerk,3 years,RENT,35000,Verified,14-Dec,Current,small_business,104xx,NY,5.25,6,5-Nov,670,674,1,21,61,9,1,2248,36.90%,19,16-Feb,87.89,16-Mar,16-Feb,21,0,22918,10,2546,67.5,0,0,0,23,NA,5,1,1,12,0,0,6,2,0,1,0
37821015,6000,6000,6000, 36 months,15.99%,210.92,Remote Support Engineer,3 years,MORTGAGE,45000,Verified,14-Dec,Fully Paid,small_business,925xx,CA,0.91,0,5-Aug,695,699,0,NA,NA,3,0,1104,78.90%,20,15-Oct,4830.07,,15-Oct,NA,0,179662,4,89831,78.9,0,0,3,43,NA,2,1,6,5,0,0,0,3,100,0,0
37761041,34000,34000,33975, 60 months,15.59%,819.43,President,2 years,MORTGAGE,119537,Not Verified,14-Dec,In Grace Period,small_business,951xx,CA,12.09,0,1-Aug,675,679,0,37,NA,4,0,25579,64.10%,8,16-Feb,819.43,16-Mar,16-Feb,37,0,42289,1,10572,64.1,0,0,1,20,NA,20,3,4,1,0,0,0,0,66.7,0,0
37700684,4450,4450,4450, 36 months,19.99%,165.36,Manager,8 years,RENT,42000,Verified,14-Dec,Current,small_business,782xx,TX,13.78,0,7-Sep,660,664,0,30,NA,4,0,1039,57.70%,5,16-Feb,165.36,16-Mar,16-Feb,30,0,16956,3,4239,57.7,0,0,0,16,30,4,2,4,1,0,0,0,0,33.3,0,0
37710575,5000,5000,5000, 36 months,15.59%,174.78,Manager,3 years,RENT,35000,Verified,14-Dec,Current,small_business,920xx,CA,17.42,0,Mar-96,665,669,0,NA,69,5,1,6264,50.10%,8,16-Feb,174.78,16-Mar,16-Feb,NA,0,6857,2,1371,57.7,0,0,0,18,NA,18,2,3,2,0,0,0,0,0,1,0
37610778,35000,35000,34975, 36 months,12.99%,1179.12,Pres,1 year,OWN,200000,Source Verified,14-Dec,Current,small_business,339xx,FL,9.48,0,Mar-95,740,744,2,27,7,11,2,5756,12.80%,23,16-Feb,1179.12,16-Mar,16-Feb,NA,0,152677,5,13880,13.2,0,0,6,4,27,2,3,8,5,0,0,0,4,0,0,2
37630722,24450,24450,24450, 36 months,16.49%,865.52,Correctional Officer,8 years,RENT,72012,Verified,14-Dec,Fully Paid,small_business,900xx,CA,13.56,0,Apr-97,660,664,0,NA,NA,13,0,29204,82%,25,15-Jul,6980.21,,15-Sep,NA,0,29204,1,2434,86,0,0,0,27,NA,20,10,20,2,0,0,0,0,90.9,0,0
37650566,5000,5000,5000, 36 months,13.66%,170.07,Owner/Independent Agent/District Sales C,8 years,OWN,100000,Source Verified,14-Dec,Current,small_business,594xx,MT,8.3,1,1-Apr,680,684,0,18,NA,6,0,2926,55.20%,16,16-Feb,170.07,16-Mar,16-Feb,18,0,120278,1,20046,71.4,0,0,2,28,NA,12,2,3,7,0,0,1,1,50,0,0
36890260,32000,32000,32000, 60 months,22.99%,901.92,Financial Analyst,2 years,RENT,85000,Verified,14-Dec,Fully Paid,small_business,223xx,VA,21.27,0,4-Jan,730,734,1,41,NA,14,0,18111,29.70%,34,15-Nov,6530.71,,15-Dec,NA,0,93137,4,7761,31.5,0,0,0,6,41,1,3,10,15,0,0,0,2,0,0,0
37800499,5000,5000,5000, 36 months,16.49%,177,Owner,8 years,RENT,27000,Not Verified,14-Dec,Fully Paid,small_business,782xx,TX,21.82,0,Dec-94,685,689,1,NA,NA,12,0,16780,79.50%,32,15-Aug,4297.82,,15-Sep,NA,0,16780,3,1678,94.5,0,0,4,7,NA,1,6,7,13,0,0,0,1,100,0,0
37810539,20000,20000,20000, 60 months,15.99%,486.26,xray tech,10+ years,MORTGAGE,80000,Verified,14-Dec,Fully Paid,small_business,206xx,MD,33.6,0,Jan-94,725,729,0,NA,NA,11,0,220216,49.70%,26,15-Jun,17161.29,,15-Aug,NA,0,321486,3,29226,49.7,0,0,5,7,NA,7,5,8,5,0,0,0,2,60,0,0
37800461,28000,28000,27975, 36 months,6.99%,864.44,CEO,10+ years,MORTGAGE,150000,Verified,14-Dec,Current,small_business,919xx,CA,3.09,0,Jun-96,835,839,0,NA,NA,11,0,1749,2.20%,26,16-Feb,864.44,16-Mar,16-Feb,NA,0,516599,2,51660,1.7,0,0,4,25,NA,1,3,11,5,0,0,0,0,0,0,0
37640441,5000,5000,5000, 36 months,10.49%,162.49,Manager,4 years,RENT,35000,Not Verified,14-Dec,Current,small_business,750xx,TX,20.85,0,4-Dec,745,749,0,NA,NA,5,0,7511,37%,16,16-Feb,162.49,16-Mar,16-Feb,NA,0,12987,1,2597,37,0,0,0,8,NA,9,2,12,3,0,0,0,1,25,0,0
37750407,28000,28000,28000, 36 months,6.49%,858.05,Owner,10+ years,MORTGAGE,150000,Verified,14-Dec,Fully Paid,small_business,361xx,AL,14.23,0,Jun-94,775,779,0,NA,NA,24,0,148655,15.80%,36,15-Apr,26053.92,,15-Apr,NA,0,220800,7,9200,18.5,0,0,2,17,NA,11,16,25,3,0,0,0,1,11.1,0,0
36420920,22675,22675,22675, 36 months,21.99%,865.86,Agent Intern,< 1 year,RENT,105000,Verified,14-Dec,Charged Off,small_business,900xx,CA,25.24,2,May-00,675,679,1,22,NA,12,0,28931,83.40%,40,15-Aug,865.86,,16-Feb,28,0,90784,8,7565,92.2,0,0,5,6,22,6,7,20,8,0,0,0,7,85.7,0,0
37770317,34100,34100,34050, 60 months,24.99%,1000.69,content strategist,10+ years,RENT,85000,Verified,14-Dec,Current,small_business,787xx,TN,34.78,2,Aug-96,695,699,0,11,NA,16,0,23370,83.20%,34,16-Feb,1000.69,16-Mar,16-Feb,NA,0,89970,3,5998,92.4,0,0,0,35,NA,24,4,8,20,0,0,0,1,100,0,0
37760329,14000,14000,13975, 36 months,14.99%,485.25,owner,5 years,MORTGAGE,75000,Not Verified,14-Dec,Current,small_business,770xx,TX,12.26,2,2-Sep,665,669,0,12,NA,13,0,5453,36.40%,38,16-Feb,485.25,16-Mar,16-Feb,69,0,26163,8,2180,79.3,0,0,0,13,18,16,4,10,12,0,0,0,1,75,0,0
37248002,18150,18150,18150, 36 months,18.54%,661.1,Logistics Manager,3 years,RENT,50514,Verified,14-Dec,Fully Paid,small_business,104xx,NY,14.09,0,2-Nov,730,734,0,NA,NA,6,0,6410,42.70%,8,15-Jul,16591.31,,15-Jul,NA,0,16069,0,2678,51.7,0,0,0,83,NA,21,2,2,3,0,0,0,0,50,0,0
37107990,8000,8000,8000, 36 months,15.59%,279.64,Faculty,10+ years,MORTGAGE,110000,Source Verified,14-Dec,Current,small_business,882xx,NM,17.3,0,Sep-98,665,669,2,65,82,12,1,10689,72.20%,54,16-Feb,279.64,16-Mar,16-Feb,65,0,163279,7,13607,86.5,0,0,2,18,NA,1,5,8,39,0,0,0,4,80,1,0
37247962,35000,35000,35000, 36 months,17.14%,1250.29,CEO,8 years,MORTGAGE,600000,Not Verified,14-Dec,Fully Paid,small_business,850xx,AZ,0.89,0,Jul-93,745,749,0,44,40,10,2,8800,29.20%,17,15-Mar,34184.94,,16-Feb,NA,0,1283698,4,142633,35.4,0,0,1,15,44,1,4,5,5,0,0,0,1,0,0,2
36850259,9600,9600,9600, 36 months,14.99%,332.75,Logistics Analyst,10+ years,MORTGAGE,65000,Verified,14-Dec,Current,small_business,115xx,NY,12,0,Oct-96,685,689,3,45,NA,24,0,22873,56.70%,48,16-Feb,332.75,16-Mar,16-Feb,45,0,172718,7,7851,68.7,0,0,4,5,45,1,6,12,21,0,0,0,5,42.9,0,0
37177796,16000,16000,16000, 36 months,14.31%,549.26,owner,10+ years,RENT,140000,Source Verified,14-Dec,Current,small_business,660xx,KS,7.9,0,4-Jul,660,664,2,34,50,8,2,15982,85.50%,20,16-Feb,549.26,16-Mar,16-Feb,NA,0,29005,1,3626,93.8,0,0,0,4,NA,4,4,12,3,0,0,0,1,100,0,2
